from,to,weight,country
1.0.0.0,CLOUDFLARENET,256,US
1.0.4.0,WPL-AS-AP Wirefreebroadband Pty Ltd,512,AU
1.0.6.0,WPL-AS-AP Wirefreebroadband Pty Ltd,512,AU
1.0.64.0,"AS-ENECOM Energia Communications,Inc.",16384,JP
1.0.128.0,TOT-NET TOT Public Company Limited,3584,TH
1.0.142.0,TOT-NET TOT Public Company Limited,20736,TH
1.0.223.0,TOT-NET TOT Public Company Limited,8448,TH
1.1.1.0,CLOUDFLARENET,256,US
1.1.64.0,VECTANT ARTERIA Networks Corporation,16128,JP
1.1.128.0,TOT-NET TOT Public Company Limited,3328,TH
1.1.141.0,TOT-NET TOT Public Company Limited,9728,TH
1.1.179.0,TOT-NET TOT Public Company Limited,18176,TH
1.1.250.0,TOT-NET TOT Public Company Limited,1536,TH
1.2.2.0,"HKOTC-AS-AP HONG KONG ORIENTAL SCIENCE AND TECHNOLOGY CO., LIMITED",256,HK
1.2.4.0,CNNIC-CRITICAL-AP China Internet Network Infomation Center,256,CN
1.2.128.0,TOT-NET TOT Public Company Limited,9728,TH
1.2.166.0,TOT-NET TOT Public Company Limited,23040,TH
1.4.128.0,TOT-NET TOT Public Company Limited,21760,TH
1.4.213.0,TOT-NET TOT Public Company Limited,11008,TH
1.5.0.0,ODN SoftBank Corp.,65536,JP
1.6.0.0,SIFY-AS-IN Sify Limited,512,IN
1.6.2.0,SIFY-AS-IN Sify Limited,1280,IN
1.6.7.0,SIFY-AS-IN Sify Limited,9216,IN
1.6.43.0,SIFY-AS-IN Sify Limited,1024,IN
1.6.47.0,SIFY-AS-IN Sify Limited,5888,IN
1.6.70.0,SIFY-AS-IN Sify Limited,5120,IN
1.6.90.0,SIFY-AS-IN Sify Limited,9984,IN
1.6.129.0,SIFY-AS-IN Sify Limited,1792,IN
1.6.136.0,POWERGRID-IN Power Grid Corporation of India Limited,256,IN
1.6.137.0,SIFY-AS-IN Sify Limited,2048,IN
1.6.145.0,SIFY-AS-IN Sify Limited,512,IN
1.6.147.0,SIFY-AS-IN Sify Limited,3840,IN
1.6.162.0,SIFY-AS-IN Sify Limited,1024,IN
1.6.166.0,SIFY-AS-IN Sify Limited,1792,IN
1.6.173.0,SIFY-AS-IN Sify Limited,1280,IN
1.6.178.0,SIFY-AS-IN Sify Limited,2816,IN
1.6.189.0,SIFY-AS-IN Sify Limited,5120,IN
1.6.209.0,SIFY-AS-IN Sify Limited,1024,IN
1.6.213.0,SIFY-AS-IN Sify Limited,1536,IN
1.6.219.0,ITDPNB-AS Punjab National Bank,256,IN
1.6.220.0,SIFY-AS-IN Sify Limited,1536,IN
1.6.226.0,POWERGRID-IN Power Grid Corporation of India Limited,768,IN
1.6.229.0,TATACOMM-AS TATA Communications formerly VSNL is Leading ISP,512,IN
1.6.231.0,SIFY-AS-IN Sify Limited,6656,IN
1.7.128.0,SIFY-AS-IN Sify Limited,3584,IN
1.7.142.0,POWERGRID-IN Power Grid Corporation of India Limited,256,IN
1.7.143.0,SIFY-AS-IN Sify Limited,2048,IN
1.7.151.0,POWERGRID-IN Power Grid Corporation of India Limited,256,IN
1.7.152.0,SIFY-AS-IN Sify Limited,512,IN
1.7.154.0,SIFY-AS-IN Sify Limited,1792,IN
1.7.161.0,POWERGRID-IN Power Grid Corporation of India Limited,512,IN
1.7.163.0,SIFY-AS-IN Sify Limited,3584,IN
1.7.177.0,SIFY-AS-IN Sify Limited,256,IN
